City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Jamestown,42.097,-79.2353,41.02,69,100,11.5,US,2022-03-25 19:28:45,light rain
60,Port Alfred,-33.5906,26.891,65.95,78,93,5.95,ZA,2022-03-25 19:31:44,light rain
61,Berlevag,70.8578,29.0864,24.04,64,100,13.4,NO,2022-03-25 19:31:44,overcast clouds
62,Padang,-0.9492,100.3543,76.42,81,21,3.33,ID,2022-03-25 19:31:45,few clouds
63,Ishikari,43.2397,141.3539,38.8,89,100,17.43,JP,2022-03-25 19:31:45,overcast clouds
64,Kaeo,-35.1,173.7833,62.33,91,42,8.99,NZ,2022-03-25 19:31:46,scattered clouds
65,Puerto Quijarro,-17.7833,-57.7667,83.89,56,65,7.14,BO,2022-03-25 19:31:47,broken clouds
66,Georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,2022-03-25 19:30:40,few clouds
67,Clyde River,70.4692,-68.5914,-3.77,71,20,11.5,CA,2022-03-25 19:31:48,few clouds
68,Ossora,59.2353,163.0719,11.35,84,100,4.54,RU,2022-03-25 19:31:49,overcast clouds
69,Vila Velha,-20.3297,-40.2925,84.15,74,0,17.27,BR,2022-03-25 19:31:49,clear sky
70,Prinos,40.75,24.5833,54.86,59,21,7.34,GR,2022-03-25 19:31:50,few clouds
71,Kenai,60.5544,-151.2583,42.89,65,100,24.16,US,2022-03-25 19:31:50,overcast clouds
72,Vrangel,42.7297,133.0839,38.68,99,100,7.96,RU,2022-03-25 19:31:51,overcast clouds
73,Bredasdorp,-34.5322,20.0403,64.36,65,100,12.71,ZA,2022-03-25 19:31:51,overcast clouds
74,Comodoro Rivadavia,-45.8667,-67.5,66.06,45,0,16.11,AR,2022-03-25 19:30:01,clear sky
75,Semey,50.4111,80.2275,20.7,81,15,10.09,KZ,2022-03-25 19:31:52,few clouds
76,Homer,59.6425,-151.5483,42.76,72,75,9.22,US,2022-03-25 19:31:36,broken clouds
77,Buraydah,26.326,43.975,64.85,20,0,14.79,SA,2022-03-25 19:31:53,clear sky
78,Shimoda,34.6667,138.95,55.11,78,100,9.64,JP,2022-03-25 19:31:54,overcast clouds
79,Oxapampa,-10.5775,-75.4017,64.53,96,100,2.01,PE,2022-03-25 19:31:54,moderate rain
80,Teya,60.3778,92.6267,19.98,92,100,7.18,RU,2022-03-25 19:31:55,overcast clouds
81,Mehamn,71.0357,27.8492,22.6,68,100,11.9,NO,2022-03-25 19:31:56,overcast clouds
82,Sulangan,11.1373,123.7228,81.55,79,34,13.49,PH,2022-03-25 19:31:57,scattered clouds
83,Sept-Iles,50.2001,-66.3821,30.06,94,100,16.11,CA,2022-03-25 19:31:59,snow
84,Albany,42.6001,-73.9662,54.95,68,97,11.74,US,2022-03-25 19:32:01,overcast clouds
85,Kodiak,57.79,-152.4072,35.11,93,100,5.75,US,2022-03-25 19:32:03,overcast clouds
86,Ust-Kuyga,70.0167,135.6,-8.57,100,98,3.38,RU,2022-03-25 19:32:03,overcast clouds
87,Cabo San Lucas,22.8909,-109.9124,83.61,40,40,9.22,MX,2022-03-25 19:29:40,scattered clouds
88,Ribeira Grande,38.5167,-28.7,61.2,94,75,32.21,PT,2022-03-25 19:32:31,broken clouds
89,Poum,-20.2333,164.0167,79.45,78,93,11.88,NC,2022-03-25 19:33:04,overcast clouds
90,Butaritari,3.0707,172.7902,79.92,79,30,11.54,KI,2022-03-25 19:33:05,scattered clouds
91,Kalaleh,37.3807,55.4916,41.36,79,37,3.78,IR,2022-03-25 19:33:05,scattered clouds
92,Tuktoyaktuk,69.4541,-133.0374,-11.2,70,0,14.97,CA,2022-03-25 19:32:34,clear sky
93,Nouakchott,18.0858,-15.9785,75.13,67,0,15.23,MR,2022-03-25 19:33:06,clear sky
94,Fortuna,40.5982,-124.1573,62.92,70,0,1.99,US,2022-03-25 19:30:52,clear sky
95,Kapaa,22.0752,-159.319,77.18,71,100,21.85,US,2022-03-25 19:33:07,light rain
96,Souillac,-20.5167,57.5167,79.18,89,40,1.14,MU,2022-03-25 19:33:08,scattered clouds
97,Palasa,18.7667,84.4167,76.77,94,50,8.63,IN,2022-03-25 19:33:09,scattered clouds
98,Tecolutla,20.4833,-97.0167,84.06,53,36,11.9,MX,2022-03-25 19:33:09,scattered clouds
99,Codrington,-38.2667,141.9667,52.68,95,23,4.38,AU,2022-03-25 19:33:10,few clouds
100,Bethel,41.3712,-73.414,58.17,56,100,11.01,US,2022-03-25 19:33:11,overcast clouds
101,Carnarvon,-24.8667,113.6333,78.87,89,47,9.22,AU,2022-03-25 19:33:12,scattered clouds
102,Javanrud,34.7961,46.5172,34.61,92,49,2.91,IR,2022-03-25 19:33:13,light snow
103,Yulara,-25.2406,130.9889,73.24,35,40,10.36,AU,2022-03-25 19:33:14,scattered clouds
104,Yellowknife,62.456,-114.3525,-6.72,48,0,2.3,CA,2022-03-25 19:30:51,clear sky
105,Provideniya,64.3833,-173.3,10.42,89,99,3.06,RU,2022-03-25 19:33:15,overcast clouds
106,Pevek,69.7008,170.3133,-16.37,98,95,3.87,RU,2022-03-25 19:33:15,overcast clouds
107,Chilchota,19.85,-102.1333,83.52,10,0,6.15,MX,2022-03-25 19:33:16,clear sky
108,Kavieng,-2.5744,150.7967,80.67,75,100,5.39,PG,2022-03-25 19:33:17,light rain
109,Nizhniy Kuranakh,58.8353,125.4869,-0.53,99,95,1.81,RU,2022-03-25 19:33:18,overcast clouds
110,Gilgit,35.9221,74.3087,48.06,52,0,5.73,PK,2022-03-25 19:33:18,clear sky
111,Lipin Bor,60.2622,37.9763,32.31,97,100,15.32,RU,2022-03-25 19:33:19,light snow
112,Nishihara,26.1842,127.7558,73.45,97,100,20.71,JP,2022-03-25 19:33:20,mist
113,Gizo,-8.103,156.8419,82.38,74,50,3.29,SB,2022-03-25 19:33:21,light rain
114,Polunochnoye,60.8697,60.4153,9.61,89,8,4.97,RU,2022-03-25 19:33:23,clear sky
115,Sirohi,24.8833,72.8667,78.85,19,0,6.04,IN,2022-03-25 19:33:24,clear sky
116,Gat,31.61,34.7642,52.48,100,21,4.94,IL,2022-03-25 19:33:25,few clouds
117,Puerto Escondido,15.85,-97.0667,85.03,65,20,6.91,MX,2022-03-25 19:33:26,few clouds
118,Aasiaat,68.7098,-52.8699,17.55,93,100,1.12,GL,2022-03-25 19:33:27,overcast clouds
119,Skjervoy,70.0311,20.9714,26.6,72,100,19.8,NO,2022-03-25 19:33:29,light snow
120,Ajjampur,13.7281,76.0094,73.47,83,64,4.29,IN,2022-03-25 19:33:30,light rain
121,Varnavino,57.4035,45.0916,29.17,89,100,8.99,RU,2022-03-25 19:33:31,overcast clouds
122,Sarangani,5.4033,125.4636,81.5,77,100,10.2,PH,2022-03-25 19:33:34,overcast clouds
123,Port Blair,11.6667,92.75,78.84,89,20,3.44,IN,2022-03-25 19:28:55,mist
124,Solnechnyy,50.7214,136.6319,18.86,96,100,4.81,RU,2022-03-25 19:33:34,overcast clouds
125,Havre-Saint-Pierre,50.2334,-63.5986,30.56,80,100,16.11,CA,2022-03-25 19:33:35,overcast clouds
126,Banjar,-8.19,114.9675,77.77,88,38,2.53,ID,2022-03-25 19:33:35,scattered clouds
127,Miri,4.4148,114.0089,75.34,88,40,3.44,MY,2022-03-25 19:33:36,scattered clouds
128,Arraial Do Cabo,-22.9661,-42.0278,87.76,65,0,16.11,BR,2022-03-25 19:30:31,clear sky
129,Llandrindod Wells,52.2416,-3.3787,50.38,82,6,3.56,GB,2022-03-25 19:33:36,clear sky
130,Nipawin,53.3668,-104.0009,15.84,48,0,14.97,CA,2022-03-25 19:33:38,clear sky
131,Mokhsogollokh,61.4681,128.9203,-3.21,100,100,1.39,RU,2022-03-25 19:33:39,overcast clouds
132,Edeia,-17.3383,-49.9314,79.45,71,99,4.41,BR,2022-03-25 19:33:41,moderate rain
133,Ulaanbaatar,47.9077,106.8832,5.13,56,40,2.24,MN,2022-03-25 19:33:42,scattered clouds
